company_id,contract_months,monthly_fee,active_users_ratio,login_freq_per_week,feature_usage_score,support_tickets_90d,nps_score,payment_delays_count,churned
C-0146,3,34670,0.5,6.3,0.26,18,10,3,0
C-0147,17,54112,0.33,9.2,0.07,14,6,0,1
C-0148,2,93388,0.92,4.2,0.01,17,8,4,0
C-0149,2,94156,0.19,5.7,0.88,16,5,0,1
C-0150,28,33307,0.14,10.4,0.35,9,9,4,0
C-0151,23,72087,0.1,13.2,0.99,13,6,2,1
C-0152,32,52922,0.4,7.6,0.44,18,8,4,0
C-0153,33,68080,0.69,0.6,0.19,17,6,2,1
C-0154,1,98348,0.76,5.1,0.78,10,5,4,1
C-0155,19,84335,0.51,5.9,0.93,10,2,4,1
C-0156,2,31312,0.72,5.1,0.82,11,0,1,1
C-0157,26,71985,0.42,6.4,0.75,7,9,1,0
C-0158,32,62608,0.7,9.0,0.33,15,8,0,1
C-0159,6,94962,0.14,2.1,0.06,7,6,1,1
C-0160,32,45277,0.45,4.2,0.2,13,2,2,1
C-0161,4,36551,0.81,7.4,0.45,17,9,1,0
C-0162,11,94813,0.82,4.8,0.96,3,8,0,0
C-0163,17,61597,0.74,13.9,0.72,16,2,3,1
C-0164,24,50212,0.28,6.3,0.83,12,2,2,1
C-0165,5,14637,0.32,12.2,0.28,4,6,3,0
C-0166,34,48258,1.0,12.6,0.68,2,1,2,0
C-0167,6,40693,0.19,11.8,0.86,8,9,0,0
C-0168,22,14824,0.26,1.1,0.48,19,6,1,1
C-0169,11,31950,0.22,13.3,0.43,17,6,3,1
C-0170,16,28488,0.39,2.2,0.72,19,0,3,0
C-0171,33,5215,0.29,1.0,0.56,18,9,1,1
C-0172,9,16523,0.55,6.1,0.99,18,10,0,0
C-0173,6,80900,0.53,3.1,0.43,15,1,1,1
C-0174,16,73689,0.91,3.0,0.18,0,4,4,0
C-0175,29,28834,0.13,4.4,0.47,4,3,4,1
C-0176,3,39474,0.39,3.9,0.24,14,2,4,1
C-0177,20,48066,0.64,9.7,0.56,11,9,3,0
C-0178,19,15400,0.64,3.0,0.13,0,10,3,0
C-0179,26,15345,0.53,7.8,0.95,13,7,0,0
C-0180,3,38896,0.83,13.8,0.86,17,6,2,1
C-0181,19,90430,0.16,6.3,0.16,17,8,1,1
C-0182,20,33899,0.83,9.2,0.17,5,2,2,1
C-0183,32,33229,0.55,13.6,0.51,0,9,3,0
C-0184,7,10583,0.22,2.4,0.77,16,0,1,1
C-0185,33,9897,0.9,6.2,0.22,17,8,3,0
C-0186,18,76537,0.68,12.0,0.06,14,8,0,0
C-0187,1,9567,0.25,13.1,0.55,11,0,1,1
C-0188,11,79807,0.13,8.6,0.69,12,7,3,0
C-0189,28,82239,0.23,2.4,0.24,19,9,4,1
C-0190,25,18329,0.65,12.7,0.74,1,0,4,1
C-0191,23,76792,0.26,2.9,0.95,3,5,3,1
C-0192,31,5228,0.3,5.3,0.14,2,8,2,0
C-0193,30,95282,0.12,5.6,0.51,18,2,0,0
C-0194,35,87214,0.75,6.5,0.06,7,5,0,0
C-0195,7,42052,0.83,11.2,0.21,11,2,3,0
C-0196,16,62769,0.82,11.3,0.09,11,10,0,0
C-0197,26,51032,0.21,10.2,0.4,9,4,1,1
C-0198,2,93721,0.91,0.8,0.82,0,10,0,0
C-0199,1,38686,0.71,8.1,0.58,4,6,4,0
C-0200,12,81981,0.91,10.6,0.22,19,10,3,1
C-0201,5,68261,0.5,6.5,0.04,10,9,1,0
C-0202,32,7809,0.49,13.3,0.55,8,3,0,0
C-0203,9,46785,0.81,11.6,0.13,13,3,4,1
C-0204,35,41547,0.18,9.1,0.34,2,6,2,0
C-0205,19,47818,0.57,1.3,0.51,4,4,0,1
C-0206,16,76927,0.85,9.3,0.9,8,0,4,1
C-0207,3,70681,0.85,12.8,0.08,17,10,4,1
C-0208,20,84465,0.96,5.6,0.67,5,9,4,0
C-0209,24,94862,0.73,11.8,0.01,6,1,4,1
C-0210,33,42333,0.29,4.7,0.63,15,5,2,0
C-0211,24,21576,0.12,8.2,0.55,7,8,3,0
C-0212,11,44405,0.53,9.3,0.81,9,6,4,0
C-0213,8,99000,0.56,9.7,0.53,4,3,3,0
C-0214,20,78779,0.32,12.4,0.35,10,1,2,1
C-0215,35,36601,0.21,3.7,0.24,12,3,2,1
C-0216,25,72946,0.63,4.0,0.09,19,4,1,0
C-0217,35,72356,0.79,10.0,0.53,1,1,1,0
C-0218,25,57116,0.99,2.9,0.89,13,0,4,0
C-0219,29,67894,0.78,6.8,0.51,8,3,3,1
C-0220,18,39635,0.81,0.8,0.74,9,10,2,1
C-0221,18,12465,0.65,2.4,0.3,9,5,0,0
C-0222,2,61754,0.99,9.7,0.45,9,0,1,0
C-0223,35,97850,0.68,10.6,0.32,18,0,1,0
C-0224,16,90119,0.87,2.1,0.11,10,8,0,0
C-0225,33,97691,0.95,3.6,0.42,10,4,3,1
C-0226,4,43871,0.94,1.8,0.76,2,1,3,1
C-0227,33,67874,0.44,6.4,0.39,18,10,3,0
C-0228,14,82733,0.17,2.2,0.65,0,1,4,1
C-0229,21,34511,0.25,6.4,0.76,11,3,4,1
C-0230,20,85960,0.15,10.4,0.32,14,10,0,1
C-0231,8,53821,0.19,9.7,0.8,13,1,2,1
C-0232,7,70776,0.27,4.3,0.34,2,3,0,1
C-0233,3,75167,0.41,9.6,0.26,19,10,2,1
C-0234,17,80135,0.59,13.0,0.22,12,5,0,0
C-0235,33,49462,0.74,5.2,0.2,17,6,4,0
C-0236,12,66382,0.29,4.9,0.74,15,5,3,1
C-0237,22,95194,0.71,8.2,0.89,5,3,1,0
C-0238,22,37574,0.73,3.8,0.23,9,9,0,0
C-0239,30,46910,0.6,9.3,0.09,16,2,0,1
C-0240,8,78531,0.91,11.7,0.31,16,3,1,1
C-0241,27,30186,0.2,6.7,0.66,7,4,0,1
C-0242,27,99781,0.26,9.7,0.37,3,3,3,0
C-0243,34,27813,0.49,9.3,0.55,14,2,1,1
C-0244,21,83812,0.21,1.0,0.74,0,0,1,1
C-0245,30,90525,0.61,3.0,0.41,6,2,3,1
C-0246,33,83282,0.46,12.6,1.0,9,10,3,0
C-0247,28,23557,0.36,13.2,0.3,6,4,1,0
C-0248,33,33060,0.25,11.0,0.98,0,5,3,1
C-0249,5,63866,0.4,12.9,0.2,16,3,3,1
C-0250,19,77104,0.65,4.6,0.11,11,0,3,1
C-0251,4,89577,0.62,3.8,0.75,16,9,1,1
C-0252,35,11080,0.25,5.7,0.7,14,6,0,0
C-0253,17,18854,0.21,1.2,0.81,15,8,2,0
C-0254,28,72695,0.12,11.4,0.34,13,5,1,0
C-0255,30,32025,0.11,13.8,0.93,2,5,2,1
C-0256,29,57982,0.89,11.6,0.12,18,8,3,1
C-0257,6,46081,0.14,8.0,0.03,11,3,3,1
C-0258,35,9368,0.76,4.5,0.3,18,4,0,0
C-0259,24,32094,0.88,3.2,0.8,17,4,3,0
C-0260,29,51040,0.19,5.4,0.67,13,4,2,1
C-0261,31,71766,0.49,9.5,0.44,19,7,1,0
C-0262,35,88053,0.97,6.5,0.26,8,10,1,0
C-0263,33,28991,0.85,13.1,0.06,2,0,0,1
C-0264,21,6301,0.54,12.0,0.34,11,9,2,0
C-0265,32,33610,0.79,1.9,0.46,19,10,3,0
C-0266,23,86463,0.85,2.3,0.69,16,9,4,1
C-0267,33,39678,0.41,9.6,0.65,4,10,0,0
C-0268,3,29466,0.9,3.6,0.95,7,2,0,0
C-0269,18,85440,0.52,11.2,0.1,18,7,4,1
C-0270,25,45875,0.58,8.5,0.34,3,10,1,0
C-0271,31,31081,1.0,3.6,0.48,14,8,1,0
C-0272,3,29354,0.86,7.0,0.67,18,1,1,0
C-0273,24,98297,0.43,6.0,0.5,14,3,4,1
C-0274,32,23300,0.11,12.3,0.91,13,7,3,0
C-0275,22,69384,0.66,0.9,0.61,15,4,3,1
C-0276,23,65892,0.73,12.6,0.04,9,0,2,1
C-0277,2,40525,0.69,9.3,0.11,13,5,2,1
C-0278,27,31532,0.97,10.5,0.75,19,8,1,0
C-0279,2,11464,0.88,0.5,0.72,10,8,4,1
C-0280,26,21562,0.5,9.0,0.15,1,10,0,0
C-0281,17,60514,0.16,8.4,0.06,18,0,3,1
C-0282,33,79219,0.53,7.8,0.58,2,3,4,0
C-0283,9,37634,0.72,11.1,0.64,3,0,2,0
C-0284,29,5060,0.65,8.0,0.14,10,6,3,0
C-0285,26,14269,0.58,12.1,0.47,12,2,3,1
C-0286,35,68143,0.52,3.6,0.31,17,1,4,0
C-0287,25,28065,0.36,11.4,0.93,17,7,2,0
C-0288,24,7895,0.35,2.9,0.22,18,8,4,0
C-0289,13,85859,0.55,11.5,0.73,11,6,0,0
C-0290,7,17352,0.24,13.2,0.52,0,5,3,0
C-0291,20,54737,0.41,5.0,0.01,5,9,4,1
C-0292,1,37016,0.39,7.7,0.52,2,10,4,0
C-0293,8,66304,0.63,9.4,0.1,16,5,0,0
C-0294,16,16962,0.16,1.6,0.66,2,8,4,1
C-0295,14,38302,0.85,7.2,0.57,0,4,3,0
C-0296,12,90382,0.61,5.4,0.01,2,4,1,0
C-0297,23,9011,0.7,12.3,0.2,3,1,1,1
C-0298,15,24782,0.73,12.3,0.78,5,5,2,0
C-0299,28,72691,0.36,10.0,0.28,6,5,0,0
C-0300,34,44725,0.52,9.4,0.5,7,5,2,1
C-0301,2,14196,0.96,10.4,0.31,12,3,1,0
C-0302,32,48459,0.79,5.4,0.92,3,10,0,0
C-0303,23,92245,0.97,6.0,0.54,5,6,4,0
C-0304,22,83863,0.77,8.0,0.7,10,8,4,1
C-0305,25,37769,0.26,13.2,0.08,0,0,3,1
C-0306,22,29700,0.16,10.3,0.04,7,2,1,1
C-0307,22,85356,0.62,7.9,0.26,1,9,4,0
C-0308,6,81427,0.42,10.9,0.31,7,8,0,0
C-0309,15,10269,0.35,5.5,0.69,19,4,4,1
C-0310,33,48880,0.83,10.4,0.57,8,5,2,0
C-0311,8,13320,0.43,6.0,0.37,3,7,2,0
C-0312,5,54589,0.39,4.3,0.65,16,8,2,0
C-0313,4,81276,0.86,8.7,0.16,6,7,2,0
C-0314,6,40897,0.86,9.8,0.06,9,2,2,1
C-0315,32,63565,0.42,6.7,0.85,4,9,3,0
C-0316,30,35930,0.85,8.1,0.56,9,0,2,1
C-0317,35,62233,0.87,9.9,0.65,11,10,3,0
C-0318,16,87821,0.48,10.9,0.31,19,4,3,1
C-0319,13,19380,0.16,12.6,0.37,5,6,4,0
C-0320,30,81896,0.1,5.3,0.08,0,1,0,1
C-0321,19,75934,0.57,13.3,0.86,2,0,2,1
C-0322,17,60830,0.41,9.1,0.59,6,3,0,0
C-0323,19,10529,1.0,11.1,0.08,10,2,1,0
C-0324,28,99598,0.8,9.9,0.8,11,3,3,0
C-0325,26,87987,0.79,3.3,0.44,8,0,1,1
C-0326,26,54178,0.96,1.5,0.77,0,1,3,1
C-0327,23,11937,0.9,10.3,0.01,3,0,2,1
C-0328,9,44886,0.39,7.4,0.03,1,2,1,1
C-0329,12,54699,0.25,10.0,0.17,1,3,4,1
C-0330,1,81396,0.77,6.9,0.21,16,0,1,1
C-0331,1,95678,0.44,4.7,0.76,1,5,3,0
C-0332,34,30279,0.53,4.3,0.71,3,1,3,0
C-0333,32,43106,0.67,10.4,0.62,10,9,0,0
C-0334,25,84737,0.92,4.2,0.88,18,10,1,0
C-0335,1,45544,0.48,10.1,0.25,12,4,4,0
C-0336,16,13997,0.8,5.7,0.9,17,7,2,1
C-0337,5,90711,0.34,10.9,0.91,18,3,0,0
C-0338,22,45860,0.73,2.4,0.43,14,4,1,1
C-0339,29,8225,0.1,3.3,0.09,11,8,0,1
C-0340,3,64470,0.88,9.8,0.73,10,1,1,1
C-0341,12,68656,0.13,8.1,0.34,0,1,2,1
C-0342,26,56880,0.74,3.3,0.79,15,5,2,0
C-0343,16,66078,0.14,12.7,0.16,12,5,4,0
C-0344,22,93646,0.34,4.2,0.54,5,2,0,0
C-0345,29,81290,0.55,6.2,0.51,5,8,4,1
C-0346,14,61633,0.48,3.2,0.1,9,0,1,1
C-0347,28,31655,0.27,5.7,0.36,1,2,2,1
C-0348,5,48601,0.4,7.1,0.08,2,7,2,0
C-0349,30,8114,0.75,4.5,0.46,5,7,3,0
C-0350,5,31502,0.7,10.9,0.84,15,3,3,1
C-0351,12,54768,0.16,5.8,0.27,5,7,4,0
C-0352,16,53128,0.77,10.3,0.76,12,10,0,1
C-0353,26,25028,0.15,3.3,0.18,3,9,1,1
C-0354,26,60565,0.59,5.6,0.67,14,7,4,1
C-0355,21,88123,0.33,0.6,0.92,5,0,2,1
C-0356,33,40333,0.63,10.7,0.32,0,2,2,1
C-0357,30,8174,0.34,8.9,0.9,8,0,2,0
C-0358,23,40398,0.99,11.5,0.51,11,1,1,1
C-0359,10,40929,0.38,6.7,0.32,10,3,4,1
C-0360,5,9321,0.32,11.3,0.9,12,2,1,1
C-0361,34,60421,0.35,9.2,0.03,0,10,2,0
C-0362,31,77635,0.91,0.5,0.03,18,5,3,1
C-0363,10,28760,0.67,3.9,0.6,3,4,4,0
C-0364,19,16360,0.76,7.2,0.8,4,4,3,1
C-0365,32,15313,0.93,8.9,0.75,16,9,4,0
C-0366,1,90998,0.92,1.4,0.08,4,6,2,1
C-0367,5,10801,0.77,10.0,0.95,18,6,3,0
C-0368,4,19130,0.28,7.8,0.7,2,8,3,1
C-0369,16,19271,0.86,7.6,0.95,10,7,4,0
C-0370,24,21075,0.28,4.4,0.33,1,2,3,1
C-0371,16,23984,0.77,8.5,0.69,13,1,3,1
C-0372,2,93095,0.72,0.9,0.86,5,0,2,1
C-0373,28,65942,0.78,1.4,0.38,18,9,4,1
C-0374,32,17861,0.58,10.4,0.96,0,5,4,0
C-0375,27,87203,0.67,4.8,0.26,6,3,0,1
C-0376,20,76376,0.96,5.2,0.32,1,2,4,1
C-0377,24,66247,0.19,3.3,0.92,18,10,2,1
C-0378,12,74101,0.38,6.5,0.97,0,10,3,0
C-0379,35,25977,0.65,1.2,0.29,8,1,0,1
C-0380,33,55617,0.97,4.6,0.14,16,1,3,1
C-0381,33,62473,0.19,7.6,0.76,9,10,4,1
C-0382,12,91654,0.12,6.8,0.93,5,3,1,1
C-0383,3,93177,0.15,14.0,0.6,2,0,3,1
C-0384,1,77902,0.15,5.7,0.63,19,5,4,1
C-0385,33,97172,0.92,5.7,0.76,14,9,2,0
C-0386,10,20630,0.75,7.3,0.15,19,10,4,1
C-0387,29,25056,0.71,3.1,0.97,5,4,0,0
C-0388,13,12382,0.57,12.3,0.36,2,9,1,0
C-0389,12,60739,0.8,8.2,0.63,9,8,1,0
C-0390,31,86685,0.24,3.1,0.47,11,1,1,1
C-0391,2,53639,0.45,11.2,0.47,0,8,2,0
C-0392,35,64838,0.54,1.0,0.7,15,8,1,0
C-0393,23,51041,0.2,13.8,0.99,16,9,3,1
C-0394,17,5992,0.48,12.2,0.66,9,8,2,1
C-0395,26,77394,0.38,8.3,0.79,11,9,4,0
C-0396,8,72657,0.13,2.0,0.03,18,9,0,0
C-0397,29,32160,0.22,3.4,0.81,7,3,2,1
C-0398,26,50156,0.79,4.3,0.3,7,4,0,0
C-0399,10,56375,0.12,3.8,0.13,9,7,2,1
C-0400,26,91442,0.94,7.2,0.11,9,7,4,0
C-0401,34,24572,0.18,13.3,0.68,17,0,0,1
C-0402,7,9136,0.82,6.5,1.0,9,9,2,0
C-0403,4,66868,0.91,9.4,0.67,6,0,0,0
C-0404,11,87263,0.95,9.8,0.26,3,9,1,0
C-0405,29,37167,0.88,12.3,0.2,0,5,1,0
C-0406,25,20479,0.36,1.0,0.53,10,6,1,1
C-0407,21,36376,0.4,6.0,0.07,18,1,3,1
C-0408,10,9823,0.48,11.1,0.4,4,1,1,1
C-0409,9,75456,0.23,11.5,0.67,7,4,1,1
C-0410,24,24585,0.12,13.0,0.97,1,8,4,1
C-0411,35,22272,0.88,10.0,0.43,1,4,0,0
C-0412,35,31619,0.6,3.8,0.2,13,7,0,1
C-0413,18,80069,0.65,7.3,0.82,8,7,1,0
C-0414,32,44895,0.93,0.9,0.74,9,4,0,0
C-0415,24,8720,0.7,9.2,0.86,12,7,2,1
C-0416,23,24267,0.72,8.0,0.21,0,7,1,0
C-0417,32,20696,0.81,9.5,0.4,13,4,1,0
C-0418,12,34968,0.2,13.1,0.98,1,4,3,0
C-0419,13,58364,0.42,9.8,0.16,3,3,2,0
C-0420,23,28345,0.97,4.8,0.67,18,0,1,1
C-0421,25,56567,0.93,3.2,0.24,0,8,1,0
C-0422,35,96229,0.9,12.0,0.5,3,1,0,1
C-0423,30,66607,0.51,3.1,0.8,10,0,1,0
C-0424,17,24385,0.87,2.7,0.49,12,5,1,0
C-0425,20,88658,0.14,3.3,0.81,17,4,1,0
C-0426,25,71900,0.23,7.4,0.43,9,10,1,0
C-0427,22,73244,0.47,2.2,1.0,4,0,3,0
C-0428,13,70425,0.54,13.2,0.44,0,6,2,0
C-0429,19,83518,0.34,13.5,0.15,13,6,3,0
C-0430,12,87844,0.42,13.6,0.4,15,2,0,0
C-0431,19,37919,0.25,1.0,0.74,17,7,4,1
C-0432,12,95697,0.54,13.3,0.85,2,5,1,0
C-0433,9,62196,0.81,14.0,0.46,2,3,0,0
C-0434,7,84401,0.7,13.2,0.59,3,9,4,0
C-0435,28,5495,0.2,9.6,0.84,6,9,1,1
C-0436,14,49755,0.54,10.0,0.81,12,9,1,0
C-0437,31,72684,0.73,2.2,0.66,8,2,4,0
C-0438,19,38324,0.58,12.3,0.82,2,0,3,1
C-0439,16,83929,0.45,1.3,0.58,16,1,4,1
C-0440,5,6552,0.66,4.8,0.0,14,1,4,1
C-0441,35,56272,0.97,13.9,0.04,9,10,2,1
C-0442,12,40853,0.19,6.2,0.98,14,4,1,0
C-0443,25,37924,0.45,2.3,0.14,0,3,1,1
C-0444,21,79462,0.47,13.6,0.4,9,1,3,1
C-0445,23,28889,0.62,13.8,0.93,6,10,3,0
C-0446,16,59675,0.24,3.0,0.2,6,8,2,0
C-0447,14,78591,0.26,12.2,0.84,2,6,2,0
C-0448,31,75190,0.36,5.8,0.82,6,7,2,0
C-0449,5,27634,0.96,5.6,0.99,8,7,3,0
C-0450,35,37363,0.76,4.0,0.28,7,1,4,1
C-0451,23,68752,0.7,1.1,0.32,2,4,1,0
C-0452,29,82004,0.84,4.1,0.9,4,2,1,0
C-0453,11,61398,0.21,1.2,0.23,12,9,0,1
C-0454,18,45718,0.87,13.0,0.55,12,8,3,0
C-0455,12,87916,0.64,9.4,0.71,7,8,3,1
C-0456,9,31870,0.4,12.5,0.27,17,5,2,0
C-0457,10,42394,0.83,10.2,0.94,6,3,0,0
C-0458,17,57057,0.82,2.3,0.67,9,7,0,0
C-0459,7,84795,0.86,13.2,0.05,9,4,3,1
C-0460,13,85409,0.2,12.6,0.14,10,2,2,1
C-0461,9,18016,0.97,5.2,0.19,11,10,1,0
